id,keyword,text,target
23,bão lũ,Dàn siêu xe tiền tỷ ngập trong bùn đất sau trận bão lũ - https://t.co/crVM2hgV0O https://t.co/MqMpWmJVc2,1
24,bão lũ,"Fighting Stigma (VN) Đồng hành cùng nhân dân vượt qua thiên tai, bão lũ: Biên phòng - Những ngày cuối tháng 9 vừa qua, bão Noru đã vượt biển Đông, tiến thẳng vào các tỉnh ven biển miền Trung, mang theo nỗi kinh hoàng cho nhân dân trên địa… https://t.co/J0xofPBzhb",1
25,bão lũ,"@GovRonDeSantis Cám ơn bạn!
Đất nước tôi năm nào cũng có bão lũ tôi cũng chứng kiến và cảm nhận được sự mất mát đau thương khôn lường do thiên tai bão lũ gây ra…
Cùng nhau chia sẻ nhân ái vượt qua!
Cầu nguyện cho tất cả mọi người những điều tốt lành!
Gửi lời thăm hỏi",0
27,bão lũ,Thế giới tuần qua: Triều Tiên liên tiếp phóng tên lửa; bão lũ hoành hành nhiều nơi https://t.co/aDk3a4hhSE,1
28,bão lũ,"Năm nay bão lũ, chúng ta sẽ thấy hệ quả từ Hoài Linh tinh gây thất thu ra sao?! Còn ai mà dám đứng ra cứu trợ nữa. TT mới đưa lên 2h phải gỡ bài.",0
29,bão lũ,"Lấy 500 triệu làm mồi câu trăm tỷ?!
Hoa hậu/Showbiz đã khởi động vận động kêu gọi. Nhiều người đứng ra đăng nhưng tài khoản chỉ đổ về một mối! Đúng là khúc ruột miền Trung là mồi ngon cho nhiều kẻ luôn mong chờ bão lũ. Lũ súc vật ăn trên xương máu dân https://t.co/norCSa0Pia",1
30,bão lũ,@RyanNguyenHC Mong cho mọi thứ không mất mát nhiều . Ở miền trung mới hiều được bão lũ nó như nào,1
31,bão lũ,@RyanNguyenHC Dân miền trung ven biển mình khổ quá. Năm nào cũng bão lũ. Làm lụng cũng chỉ đủ sửa sang nhà sau lũ haizzz,1
32,bão lũ,@RyanNguyenHC Thương miền Trung quá. Năm nào cũng bão lũ,1
34,bão lũ,"@NTPA62 Hy vọng miền Trung được bình an, bão lũ sớm qua đi và không gây ra nhiều thiệt hại to lớn về người và của 

#D7GrandOpeneingxMileApo",1
35,bão lũ,"@NTPA62 Cần lúc ngặt chứ không cần lúc nghèo, mình cũng con của mảnh đất Miền Trung quanh năm bão lũ cám ơn bạn rất nhiều #D7GrandOpeningxMileApo",1
36,bão lũ,"@D7Thailand @Only_Bez @SsiWipha Là người con miền Trung, đã từng chứng kiến bao cơn bão lũ quét qua sự nhọc nhằn của đồng bào mình. 

Mình đã chuẩn bị một số tiền để ủng hộ vùng lũ thông qua MTTQVN nhưng mình cũng muốn mọi người cùng mình lan toả sự sẻ chia này.

#D7GrandOpeningxMileApo",1
37,bão lũ,"Người ta: mùa thu lá rụng thật tức cảnh sinh tình
Tôi: đm mùa bão lũ bật mẹ gốc cây chứ rụng lá gì tầm này nữa",0
38,bão lũ,"Bão lũ thiên tai, mọi chuyện đã có đảng và nhà nước lo, vấn đề còn lại là cứ yên tâm mà... xem bóng đá. Xứ này ngộ, chỉ cần được coi bóng đá, dân sẽ quên cmn hết đói rét, nhà sập, tốc mái ngay thôi. https://t.co/xDR5nNbPTp",1
39,bão lũ,Anh bộ đội bắn khí như bão lũ https://t.co/tRZZOpeODq,0
40,bão lũ,"Cơn bão số 4 (Noru) vừa đổ bộ làm ảnh hưởng nặng nề đến cuộc sống của người dân Miền Trung, VN. CutiePia chúng mình xin quyên góp số tiền nhỏ để ủng hộ đồng bào chống chọi sau bão lũ ạ 
#ZeeNuNew https://t.co/StgRk0ULj3",1
42,bão lũ,"@VOATiengViet Tưởng gì, chúng vui là phải
Mùa bão lũ, thiên tai, dịch họa luôn là mùa bội thu của việt cộng
Rồi lại ""quyên góp ủng hộ đồng bào"" để làm giàu cho việt cộng! Còn dân vùng bão lũ thì vẫn khốn khổ khốn nạn!
LẬT ĐỔ CỘNG SẢN!",0
43,bão lũ,"@_im_pudding_ @BTS_twt bà con miền trung năm nào cũng có bão lũ, thương thật sự",1
45,bão lũ,"@HB_1503 Nói chung thiệt hại là có, nhưng nhà mình cũng kinh qua bao mùa bão lũ rồi nên biết cách sống chung vs nó thôi",1
46,bão lũ,Bão lũ miền trung xót quá trời :(,1
47,bão lũ,"Việt cộng lợi dụng ""thời điểm nhạy cảm"" để tung tin xuyên tạc nhằm gom tiền quyên góp vô tay chúng
Chuyện việt cộng ăn chặn tiền cứu trợ, mì gói, BVS phụ nữ...trong bão lũ không mới
Việt cộng minh bạch!
Quyên góp là chiêu trò
LẬT ĐỔ CỘNG SẢN! https://t.co/TubwRHjOva",0
48,bão lũ,"Gửi chút nắng ấm đến những bà con vùng bão lũ.
Cầu mong vạn sự lành cho mọi người 
#hellohoa https://t.co/K0KkxirEp6",1
49,bão lũ,@huynam_nguyen bão lũ xong đội lái lại nghĩ cách gọi dòng tiền ý mà,0
50,bão lũ,@Danacrypto_C Chung tay góp sức chống bão lũ,1
51,bão lũ,"Bão Ketsana năm 2009 gây mưa 120-270 mm cho tỉnh Quảng Bình,200-400 mm cho tỉnh Quảng Trị, Quảng Ngãi, Gia Lai, Kon Tum và 400-600 mm cho các tỉnh từ Thừa Thiên Huế đến Quảng Ngãi. Bão lũ đã cướp đi 163 sinh mạng, làm 11 người mất tích, hơn 21.000 nhà dân bị sập https://t.co/n3Fu8eq6cP",1
54,bão lũ,sinh ra ở mảnh đất miền Trung đầy nắng gió lại thường đón thiên tai bão lũ...nhưng khs lại yêu nơi này đến thế cố lên miền Trung ơi,1
55,bão lũ,"Để ý từ đợt lên báo LU rùi, tưởng nhìn nhầm hoặc do báo chỉnh màu nhưng tóc em Biu nhuộm nâu đúng hong mn? Kiểu highlight thôi í
#BuildJakapan",0
56,bão lũ,"Tập làm văn lớp 3: Viết thư thăm hỏi bạn ở vùng bão lũ lụt (8 mẫu)
https://t.co/aejF145qn8",1
57,bão lũ,THỜI TỚI CHỊ EM ƠI TRỜI ƠI KE CHUẨN BỊ NÓ TÁP DÔ MẶT NHƯ BÃO LŨ RÒI HÂHHAHAHAHAHA,0
58,bão lũ,Bảo đảm vận hành lưới điện an toàn mùa bão lũ https://t.co/LGWz0WWd7g,1
59,bão lũ,"Tập làm văn lớp 4: Viết thư thăm hỏi khi nghe tin quê bạn bị bão lũ
https://t.co/UJzP1HJNlq",1
60,bão lũ,@RyanNguyenHC Ad hú thằng bê lên để e có xiền sửa nhà với chứ nhà cửa sắp đi theo bão lũ rồi,0
61,bão lũ,"Cũng ổn, bão lũ mà vẫn có ăn thì ổn là đúng r https://t.co/HQ2NZHuSUa",1
62,bão lũ,mỗi mùa bão lũ tới là lsg lên trending tweet nào nhắc tên a là mấy chục ngàn retweet =))))),0
63,bão lũ,"@dungnguyen242 mùa bão lũ này thì đúng lội theo nghĩa đen luôn đấy, lội vui vẻ, lội cẩn thận bạn ưi🥹",0
65,bão lũ,"Bạn có biết các loại cảnh báo khác nhau có nghĩa là gì không? Để giúp chuẩn bị, hãy tìm hiểu sự khác biệt giữa lời khuyên, quan sát và cảnh báo lũ lụt. 

Để biết thêm thông tin về điều kiện thời tiết và cập nhật thời tiết, hãy truy cập @NWSHouston! https://t.co/rItSNyJf3m",1
67,bão lũ,"@Naan0105 thông cảm, bên Hàn đang mùa bão lũ, ko tìm ra nắng đẹp trời trong xanh nên gom hết vào hộp. 🥲",0
68,bão lũ,Bão lũ cho thấy công dụng mới của xe điện: Cấp điện cho vùng thiếu thốn https://t.co/pnfzsb4Qro,1
69,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 11/08/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/zgENBeU5LC a través de @YouTube,1
70,bão lũ,Trung Quốc kích hoạt biện pháp ứng phó khẩn cấp với bão lũ tại nhiều khu vực https://t.co/B3RbdrqEEX,1
72,bão lũ,"https://t.co/ZDVrWxZd36
dạo này nhiều chuyện buồn quá, ngày càng thương Bin huhu. cái đợt fanmeeting này là haloween này đợt đó còn bão lũ các kiểu, trời thì mưa, đang bận tổ chức haloween trên trường thế là phải lấy cớ nhà bận để về trước huhu nhớ lắm",0
73,bão lũ,@RyanNguyenHC người ta quanh năm bão lũ các ông các bà có phải sinh ra và lớn lên ở cái mỗi trường đầy khó khăn vất vả đâu mà nói người ta thế. riêng cá nhân tôi thấy rất nhiều người tài được sinh ra và lớn lên ở miền trung,1
74,bão lũ,"@RyanNguyenHC Mình miền Trung nè, do hoàn cảnh từ nhỏ sinh ra cha mẹ nói phải tiết kiệm nên mình cũng hạn chế ăn chơi, ng miền Tây địa lý phong phú, 1 năm cũng chịu ít bão lũ càn quét nên tính họ đa số phóng khoán. Đâu cũng có người này người kia, miễn sống tốt bụng là đc.",0
75,bão lũ,@RyanNguyenHC mình dân miền trung.sống từ nhỏ cảm thấy miền trung so với 2 miền còn lại thì họ cực khổ hơn.năm nào cũng bão lũ...mấy bạn này ns những lời mà k suy nghĩ đến cảm nhận của người khác!,1
76,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 4/8/2022 | Tin Bão Lũ Trung Quốc Mớ... https://t.co/EN9yvzQzlG a través de @YouTube,1
77,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 3/8/2022 | Tin Bão Lũ Trung Quốc Mớ... https://t.co/fYxCp854ht a través de @YouTub,1
78,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 02/08/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/s2EikSlx3r qua @YouTube,1
79,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 30/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/TDDKhS7Pi4 a través de @YouTu,1
80,bão lũ,Giải cứu fan zxyn ét ô ét trời má emo như bão lũ luôn á. Liệu làm sao coi cho đc thì làm nhaaaaaa,0
82,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 27/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/9mLwIPGbXg a través de @YouTube,1
83,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 27/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/F86L5Nr4SI a través de @YouTube,1
84,bão lũ,"- trời nóng dễ quạo thiệt nhưng mà tui thích, tui ghét mùa đông ghê lắm tại nó mưa, ở miền trung không có rét mà là mưa với bão, lũ. nghĩ thôi là tự mệt ngang ☺️

#방탄소년단슈가 #SUGA #슈가 #BTSSUGA #シュガ",1
85,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 26/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/pws2Z6HpAk a través de @YouTube,1
86,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 26/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/KFnlnbU4fz a través de @YouTube,1
87,bão lũ,"2022/07/25 14:02 
[COMEBACK LOL NGÀY MƯA BÃO LŨ]
Tôi đang phát trực tuyến League of Legends trên NimoTV, hãy đến chơi với tôi! https://t.co/GXPmJWaLgF",0
88,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 24/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/11gq1MjevO a través de @YouTube,1
90,bão lũ,"Bão, lũ mang nguy cơ dồn dập hơn mọi năm New https://t.co/GKD18fy8xu",1
91,bão lũ,"Mua Thảm Họa Thiên Nhiên - Tập 2: Bão, Lũ Lụt, Hạn Hán giảm giá 0%. 
#tusach24h
https://t.co/0pcBBkWAch",1
92,bão lũ,"Tác phẩm “Điểm tựa cho dân lúc gian nguy” giúp dân trong bão, lũ nói về Công an Quảng Bình đạt giải Đặc biệt https://t.co/I6alWENjox",1
93,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 07/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/t9IjilZ0Si via @YouTube,1
96,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 05/07/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/r34DgT3FSs qua @YouTube,1
97,bão lũ,Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 29/06/2022 | Tin Bão Lũ Trung Quốc ... https://t.co/9gFws6paL5 qua @YouTube,1
98,bão lũ,"Tin Nóng Lũ Lụt Trung Quốc Hôm Nay 25/06/2022 | Tin Bão Lũ Trung Quốc Mới Nhất | NEWS VN
1,913 watching now
Started streaming 59 minutes ago
https://t.co/zVRUs9bexa",1
99,bão lũ,"@kaido99VNCH @RepublicofVN Ông nói tôi k biết gì, đúng tôi trẻ ng non dạ. Nên chỗ tôi dân có k giàu nhưng luôn được các cấp, các ban ngành hỗ trợ hàng tháng đấy. Còn mỗi lần bão lũ, bố mẹ tôi vẫn đi chống bão tại đây đấy bạn? Dịch vẫn đi cấp phẩm đấy.",1
100,bão lũ,Lụm nhẹ 10% ngày bão lũ https://t.co/DXILp71uub,0
101,bão lũ,"Bão lũ càn quét đường phố Mỹ, xe ô tô nằm la liệt giữa vùng nước sâu https://t.co/IKrix9HvSz",1
102,bão lũ,"@LJoga Foi bão Lu, terminei uns trabalhos que tavam parados i o seu?",0
103,bão lũ,"@KimTran25053041 Ông trời :"" ĐM tụi Cộng Sản vu khống""
Lũ lụt thì bảo đổ nước.
Hạn hán chắc bảo cúp nước.
Bão lũ chắc bảo hắt nước.
Mưa đá chắc do hắt hơi.
Sấm chớp là tao đánh rắm .
Động đất chắc là kinh phong .
ĐM chúng mày vừa ăn cắp vừa la làng",0
104,bão lũ,truyền tí năng lượng bão lũ hn sang monaco,0
105,bão lũ,"bão người qua đi
giờ là bão lũ ☺
#YetToCome_BTS #BTS_Proof #BTS @BTS_twt",0
107,bão lũ,"Bạn có biết các loại cảnh báo khác nhau có nghĩa là gì không? Để giúp chuẩn bị, hãy tìm hiểu sự khác biệt giữa lời khuyên, quan sát và cảnh báo lũ lụt. 

Để biết thêm thông tin về điều kiện thời tiết và cập nhật thời tiết, hãy truy cập 
@NWSHouston! https://t.co/A3rUhgrsj8",1
109,bão lũ,@linhlckt1 Hiện tượng dự báo sẽ có mưa lớn và bão lũ,1
110,bão lũ,"Xiao Mo Tou Bao Lu La (Busted! Darklord) 

",0
111,bão lũ,noooooooooooo https://t.co/QABiFJDGXu,0
112,bão lũ,"và bảo lũ ghẻ nhà bạn ngừng chiến trc đi! Bọn t chỉ có hai yêu cầu đơn giản...1 là muốn biết bạn cảm thấy ntn sau khi leak cmt nhóm, 2 là muốn biết ng đã cap màn hình cho bạn là ai! Chết hay thoi thóp thì cũng phải biết ng đâm mình là ai chứ...đúng k?",0
113,bão lũ,Phát triển mô hình học máy để dự báo lũ quét và sạt lở đất trên các tuyến đường bộ https://t.co/zCmBH3wf8L,1
114,bão lũ,"Ngôi nhà nằm cô độc trên một mỏm đá, giữa núi rừng, không chịu khuất phục bão lũ https://t.co/z4Y3uNfbZM",1
116,bão lũ,"Ngôi nhà nằm cô độc trên một mỏm đá, giữa núi rừng, không chịu khuất phục bão lũ https://t.co/q3LoNbKaXh https://t.co/AWEPpsO4QM",1
117,bão lũ,"Ngôi nhà nằm cô độc trên một mỏm đá, giữa núi rừng, không chịu khuất phục bão lũ https://t.co/L0sGmEjhbf https://t.co/c0eC3uQsOW",1
118,bão lũ,"Ngôi nhà nằm cô độc trên một mỏm đá, giữa núi rừng, không chịu khuất phục bão lũ https://t.co/fCgw6mdmfY https://t.co/18UFAlSb3j",1
119,bão lũ,"Ngôi nhà nằm cô độc trên một mỏm đá, giữa núi rừng, không chịu khuất phục bão lũ https://t.co/NDioTTzari",1
120,bão lũ,"Hôm nay, https://t.co/u0zPnKoTya sẽ cung cấp Tập làm văn lớp 3: Viết thư thăm hỏi bạn ở vùng bão lũ lụt. Mời các bạn học sinh tham khảo trong tài liệu. https://t.co/knP3JpEjHK https://t.co/5DALjeG00W",1
121,bão lũ,trông như đội chống thiên tai bão lũ =))))),0
124,bão lũ,@clone_nguyen @Sekira_NFT @thebunnybuddies Kenny có qua ko? Qua chung đi. Nãy vô mà thấy bão lũ quá chóng mặt. Sợ luôn,0
125,bão lũ,@dope061313 Làm thế nào để gatekeeping cái method bây giờ? Thấy có bạn bảo lũ ú ét ú cầy ẻ nhòm ngó hiuhiu #Butter #BTS_Butter,0
126,bão lũ,"Khi có Chúa là vầng đá thì những cơn bão lũ sẽ không thể nào cuốn trôi nền tảng đức tin vững chắc của ta nơi Ngài. 

(Ma-thi-ơ 7:24) 
""Ai nghe lời Ta và làm theo thì giống như một người khôn ngoan, xây nhà mình trên vầng đá"" https://t.co/dew4KX2KSL",1
127,bão lũ,@Fred08oficial Tôi là Chien. Tôi đên từ Việt nam. Tôi đang xây dựng 1 quỹ hỗ trợ những người khuyết tật và những người có hoàn cảnh khó khăn bão lũ tại quê nhà. Chúng tôi cần những nhà hảo tâm giúp đỡ. Tôi cần sự giúp đỡ của bạn. Bạn có thể giúp chúng tôi được không.,1
128,bão lũ,"@UN Sử dụng hợp lý Chánh lãng phí có thể là sách lược của nhân loại…! 
Cám ơn các bạn…!
Chúc nhân loại văn minh nhân ái…!
Hãy vì nhau mà sử dụng thông minh để giúp đỡ những nơi khó khăn do thiên tai bão lũ hoả hoạn…..!
Chúc nhân loại sáng suốt nhân văn bác ái!!!",1
129,bão lũ,"Hướng dẫn biện pháp cấp bách phục hồi vườn cam, bưởi sau bão lũ https://t.co/lq0BxWJRl6",1
130,bão lũ,@bbcvietnamese Khi nào Mỹ hết nạn xả súng thì miền Trung hét bão lũ,0
132,bão lũ,"Trước tình hình bão lũ tại VN, Phát ngôn viên Bộ ngoại giao Iran Saeed Khatibzadeh gửi lời chia buồn sâu sắc đến Chính phủ, nhân dân Việt Nam và đặc biệt là những người bị ảnh hưởng của đợt bão lũ vừa qua. https://t.co/RAwdjzoXSU",1
133,bão lũ,"@jungkoo36 @BTS_twt Thương mng ở miền Trung thật chị ạ , bão lũ rồi thêm dịch nữa ...Mong là mng vẫn sẽ ổn 

VOTE WITH LUV ARMY",1
134,bão lũ,"@jungkoo36 @BTS_twt Năm nào miền Trung cũng bão lũ, mà mấy năm nay còn thêm dịch nữa. Cứ dành dụm được tiền thì lại gặp lũ lụt.
VOTE WITH LUV ARMY 
@BTS_twt",0
137,bão lũ,"Ai cũng biết nguyên nhân là do tham nhũng, kể cả là hàng cứu trợ!
Việt cộng tham nhũng tới từng gói mì cứu trợ nạn dân bão lũ thì cái gì chúng từ chứ!
LẬT ĐỔ CỘNG SẢN! https://t.co/BzAV6EyS7P",1
138,bão lũ,"Về việc phân bố tiền cho các tổ chức, mọi người cũng biết suốt nhiều tháng nay HCM phải oằn mình chống dịch, thiệt hại nặng nề nên chúng mình ưu tiên cho quỹ miền Nam hơn, tiếp đến là miền Trung Tây Nguyên ngoài covid còn đối mặt với bão lũ",1
139,bão lũ,Tả Cảnh Lũ Lụt Ở Quê Em Những Bài Văn Tả Cảnh Bão Lũ Hay https://t.co/VIX2D0e27l,1
140,bão lũ,Trục lợi tiền hỗ trợ bão lũ đối diện mức án nào? https://t.co/rzfBBYzjy7,1
141,bão lũ,"Chúc mọi người tuần mới an lành trước thiên tai và bão lũ
#tranxuandinh #baohiemruiro #baohiemxeoto #insuranceclaims https://t.co/gtyxGRaJkf",0
143,bão lũ,"Tới gói mì tôm của nạn nhân bão lũ còn ăn chặn kìa.
Tiền ""cứu trợ covid"" nữa kìa
...
Hệ thống chính trị của việt cộng là một hệ thống tội phạm, vô đạo đức.
LẬT ĐỔ CỘNG SẢN! https://t.co/5EvJPh83TL",1
144,bão lũ,"Chưa hết dịch Covid giờ lại mùa bão lũ nữa rồi 

@BTS_twt",1
145,bão lũ,Hướng dẫn biện pháp cấp bách phục hồi vườn hồ tiêu sau bão lũ https://t.co/U8i6fyeWWw,1
147,bão lũ,"...

QUỸ HIỂU VỀ DÁI CHIM
CỦA ĐỸ ĐỰC SÀI THÀNH
NĂM NAY MÙA BÃO LŨ
CHƯA HÚT MÁU PHAN ANH...",0
148,bão lũ,"Bố Trạch phát huy phương châm “4 tại chỗ” trong phòng, chống bão lũ https://t.co/BonbcL1eLt",1
149,bão lũ,"Ngta nói mưa dầm thấm lâu, mà theo t thấy mưa dầm thúi đất, bão lũ lụt cuốn t đi luôn rồi. Mà bà nội CEO YG vẫn nhởn nhơ như giỡn chơi vậy đó. Phải chăng ai đã lấy mất cái nết của bả rồi? 
YG TREAT LISA EQUALLY
#BeFairToLisa https://t.co/YUPPrPvX21",0
150,bão lũ,"Bộ Công an cho biết đã nhận được tin báo tố giác tội phạm liên quan tới một số cá nhân có hoạt động gây quỹ quyên góp từ thiện trong đợt bão lũ miền Trung năm 2020. Bộ Công an đã chỉ đạo Cục Cảnh sát hình sự thụ lý, kiểm tra, xác minh các nguồn tin. https://t.co/gEy3ynjueX",1
151,bão lũ,Fic tả cảnh miền bão lũ miền trung thật lắm mà tình cảm 2 đứa cũng ngây ngô đơn thuần https://t.co/owxooERnoh,1
152,bão lũ,"Thiên tai, dịch hoạ luôn là mùa bội thu của việt cộng mà!
Việt cộng ăn tới từng gói mì tôm cứu trợ nạn nhân bão lũ thì việc này chúng sao bỏ qua được!
Vaccine tàu giá cao chất lượng không đảm bảo kìa!
LẬT ĐỔ CỘNG SẢN! https://t.co/6dXEsF9hI4",1
153,bão lũ,@MysticalBlade @faker Bảo lũ damwon là đầu hàng trong phần cài đặt e nhé,0
154,bão lũ,"Bão nữa :(
SG thì dịch chạy chỉ tiêu
miền Trung thì bão lũ chạy chỉ tiêu...",1
156,bão lũ,Các bạn ở vùng dịch và bão lũ giữ gìn sức khỏe và cẩn thận nhé ạ nguy hiểm quá,1
157,bão lũ,Tranh thủ check khi phòng chống bão lũ https://t.co/jY8ev6ZdjO,1
159,bão lũ,@Chunniee_twt mong dịch bệnh và bão lũ sẽ sớm qua mauuuu,0
160,bão lũ,"trừ những đứa thích cổ suý anti cổ suý chửi bới thì còn có số người khịa cha tú là tại vì phát ngôn trù bão lũ của ổng :)) chứ cái tính hướng sở thích của ổng cũng ko ai quan tâm đâu :)) nên người ta có nhớ tới thằng lập đâu, toàn réo tên ổng lol",0
161,bão lũ,"Lại 🌧 rồi, mưa to, trời tối sầm. Trên biển Đông đang có bão ConSon đổ bộ, gió giật đến cấp 11. Thương quê mình quá, năm nào cũng bão lũ. SG bjo chỉ ảnh hưởng thôi đã mưa thế này rồi, hic.
Mong sao tất cả bình yên 
#TramKhongGianSo0 #VuCatTuong #https://t.co/lI9miOcklZ",1
162,bão lũ,"Lại sắp tới mùa bão lũ, mưa gió giật đùng đừng nên mạng mẽo chán ghê luôn
@gulfkanawut
#SulwhasooLivexGulf",0
163,bão lũ,"Đám showbiz. Ăn chặn từ thiện của người dân thế này là hỏng. Vl kiếm tiền dễ thế à? Đi tù mọt gông nhé. Mỗi sao kê còn éo xong.
Còn ai nói là k có đám nghệ sĩ thì dân chết đói. WTF? Bao năm nay bão lụt, vẫn là Nhà nước hỗ trợ và chủ trương chống bão lũ nhé. https://t.co/xoHRZEZcfv",1
165,bão lũ,"@JustForTWICE_VN đường về là gió là mưa là bão lũ
Once fighting
WE VOTE FOR #TWICE + #ONCE at the #BreakTudoAwards 2021 #VoteTWICEonBreaktudo @JYPETWICE",0
166,bão lũ,"@Thoamaru T đang bảo lũ bên Nhân cách 2 :) Một đám bị dắt mũi theo con Nightmare. Từ hqua giờ t chưa thấy nhà 3 đi cà ai nhưng một đống lũ 2 4 bán thảm rồi đi cà cả anh R rồi, xong vào miệng vào não cno giờ thành nhà 3 toxic xong xin lỗi đủ kiểu",0
168,cấp cứu,"Túi sơ cấp cứu y tế loại C , túi y tế loại C https://t.co/VMslqSOCWN",1
169,cấp cứu,Giải Mộng Giấc Mơ Thấy Xe Cấp Cứu Chi Tiết https://t.co/8uJiiVrP6Q,1
170,cấp cứu,"TÚI SƠ CẤP CỨU Y TẾ LOẠI A,B,C LH 0909.087.114, MIỄN PHÍ VẬN CHUYỂN https://t.co/ztCFhGaLvV",1
171,cấp cứu,"TÚI SƠ CẤP CỨU Y TẾ LOẠI A,B,C LH 0909.087.114, MIỄN PHÍ VẬN CHUYỂN https://t.co/ztCFhGaLvV",1
173,cấp cứu,@MiGiiMyBay10 Ẻm mà cho quả rắm cái cấp cứu luôn,0
